general_name,colleges_name,url
University of Michigan—Ann Arbor,University of Michigan - Ann Arbor,https://umich.edu/
Texas A&M University,Texas A and M University,https://www.tamu.edu/
University of California—Berkeley,University of California - Berkeley,www.berkeley.edu/
Indiana University—Bloomington,Indiana University - Bloomington,https://bloomington.iu.edu/
University of California—Irvine,University of California - Irvine,www.uci.edu/
University of Wisconsin—Madison,University of Wisconsin - Madison,www.wisc.edu/
University of Texas—Austin,University of Texas - Austin,https://www.utexas.edu/
The Ohio State University,Ohio State University,www.osu.edu/
University of Maryland—College Park,University of Maryland - College Park,www.umd.edu/
University of Illinois Urbana-Champaign,University of Illinois - Urbana-Champaign,www.illinois.edu/
University of Minnesota—Twin Cities,University of Minnesota - Twin Cities,https://twin-cities.umn.edu/
University of California—Los Angeles,University of California - Los Angeles,www.ucla.edu/
University of North Carolina—Chapel Hill,University of North Carolina at Chapel Hill,https://www.unc.edu/
College of William & Mary,William and Mary,https://www.wm.edu/
University of Tennessee—Knoxville,University of Tennessee - Knoxville,www.utk.edu/
Cal Poly San Luis Obispo,Cal Poly,calpoly.edu/
University of St. Thomas—Minnesota,University of St. Thomas,www.stthomas.edu/
University of Massachusetts Amherst,University of Massachusetts - Amherst,www.umass.edu/
Rutgers University–Newark,Rutgers University-Newark,https://www.newark.rutgers.edu/
University of California—San Diego,University of California - San Diego,www.ucsd.edu/
University of Massachusetts Lowell,University of Massachusetts - Lowell,www.uml.edu/
University of Colorado Boulder,University of Colorado - Boulder,https://www.colorado.edu/
University of Texas—San Antonio,The University of Texas at San Antonio,www.utsa.edu/
University of Nebraska—Lincoln,University of Nebraska - Lincoln,www.unl.edu/
University of Texas—Dallas,University of Texas - Dallas,www.utdallas.edu/
San José State University,San Jose State University,www.sjsu.edu/
University of Alabama,The University of Alabama,www.ua.edu/
University of California-Davis,University of California - Davis,ucdavis.edu/
University at Buffalo,University at Buffalo - SUNY,https://www.buffalo.edu/
Rutgers University–New Brunswick,Rutgers University - New Brunswick,https://newbrunswick.rutgers.edu/
